8.525421366012889024e+00 0.000000000000000000e+00 4.087674355272594262e+00 -4.888047037241172177e-02 9.205805011329504239e+00 -1.333923213945169550e-01 1.544979901117577192e+01 4.249833354623770987e-01
8.509676127752060282e+00 0.000000000000000000e+00 4.081429216743254429e+00 -4.969704269046459899e-02 9.188736220249785092e+00 -1.352291100920339773e-01 1.541709341875221995e+01 4.220407855652261730e-01
8.493952270309559793e+00 0.000000000000000000e+00 4.075189601260493788e+00 -4.899495284258215122e-02 9.171690460437153192e+00 -1.370639293959676763e-01 1.538444353911567219e+01 4.191021527854914552e-01
8.478249765396885351e+00 0.000000000000000000e+00 4.068955504460221029e+00 -4.981034689284769001e-02 9.154667702572782062e+00 -1.388967811816073095e-01 1.535184928012667527e+01 4.161674322936530501e-01
8.462568584764317947e+00 0.000000000000000000e+00 4.062726921981915318e+00 -4.910872570534863257e-02 9.137667917375505766e+00 -1.407276673224338026e-01 1.531931054980154983e+01 4.132366192662999538e-01
8.446908700200760123e+00 0.000000000000000000e+00 4.056503849468390044e+00 -4.840816091437716295e-02 9.120691075601783382e+00 -1.425565896901286322e-01 1.528682725631252559e+01 4.103097088861620279e-01
8.431270083533579651e+00 0.000000000000000000e+00 4.050286282565865648e+00 -4.922179018605277179e-02 9.103737148045794925e+00 -1.443835501545649436e-01 1.525439930798732213e+01 4.073866963420993415e-01
8.415652706628753421e+00 0.000000000000000000e+00 4.044074216924025578e+00 -4.852169300934150442e-02 9.086806105539229961e+00 -1.462085505838111033e-01 1.522202661330844542e+01 4.044675768290328932e-01
8.400056541390645393e+00 0.000000000000000000e+00 4.037867648195803127e+00 -4.782265013673914211e-02 9.069897918951381754e+00 -1.480315928441306994e-01 1.518970908091368344e+01 4.015523455480209947e-01
8.384481559762095415e+00 0.000000000000000000e+00 4.031666572037689633e+00 -4.863451777261573739e-02 9.053012559188880815e+00 -1.498526788000003052e-01 1.515744661959528550e+01 3.986409977062024268e-01
8.368927733724225604e+00 0.000000000000000000e+00 4.025470984109457362e+00 -4.793594147073854117e-02 9.036149997195893846e+00 -1.516718103140863860e-01 1.512523913829981836e+01 3.957335285167964400e-01
8.353395035296468762e+00 0.000000000000000000e+00 4.019280880074341589e+00 -4.723841738491785236e-02 9.019310203953972760e+00 -1.534889892472630635e-01 1.509308654612792999e+01 3.928299331990867671e-01
8.337883436536507986e+00 0.000000000000000000e+00 4.013096255598919804e+00 -4.804852652228852605e-02 9.002493150481944539e+00 -1.553042174586138913e-01 1.506098875233410261e+01 3.899302069784447156e-01
8.322392909540123895e+00 0.000000000000000000e+00 4.006917106353185432e+00 -4.735146796618394660e-02 8.985698807835868607e+00 -1.571174968054300791e-01 1.502894566632629569e+01 3.870343450862758772e-01
8.306923426441352731e+00 0.000000000000000000e+00 4.000743428010444802e+00 -4.665545954247996008e-02 8.968927147109138076e+00 -1.589288291432087163e-01 1.499695719766571145e+01 3.841423427600485496e-01
8.291474959412255430e+00 0.000000000000000000e+00 3.994575216247483684e+00 -4.746381331313642704e-02 8.952178139432275472e+00 -1.607382163256581009e-01 1.496502325606662076e+01 3.812541952432724202e-01
8.276047480662818145e+00 0.000000000000000000e+00 3.988412466744388762e+00 -4.676826938068856521e-02 8.935451755972868781e+00 -1.625456602047101740e-01 1.493314375139586758e+01 3.783698977854790257e-01
8.260640962441105017e+00 0.000000000000000000e+00 3.982255175184635565e+00 -4.607377350133390337e-02 8.918747967935663823e+00 -1.643511626304974271e-01 1.490131859367286538e+01 3.754894456422395166e-01
8.245255377032995270e+00 0.000000000000000000e+00 3.976103337255065373e+00 -4.688037503158781760e-02 8.902066746562399047e+00 -1.661547254513795480e-01 1.486954769306905000e+01 3.726128340751255763e-01
8.229890696762339530e+00 0.000000000000000000e+00 3.969956948645970929e+00 -4.618634260755705156e-02 8.885408063131768230e+00 -1.679563505139363144e-01 1.483783095990797030e+01 3.697400583517360673e-01
8.214546893990657850e+00 0.000000000000000000e+00 3.963816005050831759e+00 -4.699177771166773709e-02 8.868771888959452454e+00 -1.697560396629587132e-01 1.480616830466460243e+01 3.668711137456526217e-01
8.199223941117256942e+00 0.000000000000000000e+00 3.957680502166682324e+00 -4.629820857236310871e-02 8.852158195397949569e+00 -1.715537947414720321e-01 1.477455963796543514e+01 3.640059955364627342e-01
8.183921810579219525e+00 0.000000000000000000e+00 3.951550435693802932e+00 -4.560568454842517383e-02 8.835566953836684334e+00 -1.733496175907092152e-01 1.474300487058795994e+01 3.611446990097277876e-01
8.168640474851063260e+00 0.000000000000000000e+00 3.945425801335848082e+00 -4.640937261046751416e-02 8.818998135701718866e+00 -1.751435100501499420e-01 1.471150391346059116e+01 3.582872194569972635e-01
8.153379906445088920e+00 0.000000000000000000e+00 3.939306594799842909e+00 -4.571731083849428501e-02 8.802451712455980015e+00 -1.769354739574815483e-01 1.468005667766219347e+01 3.554335521757714389e-01
8.138140077911062420e+00 0.000000000000000000e+00 3.933192811796156985e+00 -4.502629211316921953e-02 8.785927655599001795e+00 -1.787255111486381054e-01 1.464866307442210669e+01 3.525836924695333607e-01
