#Pressure(GPa) Temperature(K) Cell Bulk_Modulus(GPa) Thermal_Expansion(1/K)
0.750000 120.0 1.161342e+01 10.969507 2.192733e-05
0.750000 130.0 1.161620e+01 10.892808 2.400529e-05
0.750000 140.0 1.161921e+01 10.812895 2.598505e-05
0.750000 150.0 1.162245e+01 10.730123 2.787152e-05
0.750000 160.0 1.162589e+01 10.644744 2.968112e-05
0.750000 170.0 1.162953e+01 10.556996 3.141699e-05
0.750000 180.0 1.163337e+01 10.467028 3.309974e-05
0.750000 190.0 1.163740e+01 10.375003 3.472792e-05
0.750000 200.0 1.164161e+01 10.281028 3.631910e-05
0.750000 210.0 1.164601e+01 10.185222 3.787123e-05
0.750000 220.0 1.165058e+01 10.087674 3.939394e-05
0.750000 230.0 1.165532e+01 9.988477 4.089152e-05
0.750000 240.0 1.166023e+01 9.887721 4.236292e-05
0.750000 250.0 1.166531e+01 9.785477 4.381686e-05
0.750000 260.0 1.167056e+01 9.681821 4.525430e-05
0.750000 270.0 1.167598e+01 9.576836 4.666806e-05
0.750000 280.0 1.168155e+01 9.470595 4.807194e-05
0.750000 290.0 1.168729e+01 9.363160 4.945682e-05
0.750000 300.0 1.169318e+01 9.254612 5.083035e-05
1.000000 0.0 1.153167e+01 12.067012 0.000000e+00
1.000000 10.0 1.153172e+01 12.064874 4.283628e-07
1.000000 20.0 1.153192e+01 12.057183 1.748131e-06
1.000000 30.0 1.153227e+01 12.042978 2.981469e-06
1.000000 40.0 1.153274e+01 12.021578 4.105467e-06
1.000000 50.0 1.153336e+01 11.992374 5.401965e-06
1.000000 60.0 1.153417e+01 11.955077 6.978741e-06
1.000000 70.0 1.153518e+01 11.909880 8.809026e-06
1.000000 80.0 1.153643e+01 11.857358 1.080969e-05
1.000000 90.0 1.153792e+01 11.798292 1.289019e-05
1.000000 100.0 1.153965e+01 11.733511 1.497665e-05
1.000000 110.0 1.154161e+01 11.663786 1.701970e-05
1.000000 120.0 1.154380e+01 11.589786 1.899041e-05
1.000000 130.0 1.154621e+01 11.512063 2.087723e-05
1.000000 140.0 1.154882e+01 11.431053 2.267928e-05
1.000000 150.0 1.155163e+01 11.347117 2.440002e-05
1.000000 160.0 1.155464e+01 11.260510 2.604954e-05
1.000000 170.0 1.155782e+01 11.171473 2.763381e-05
1.000000 180.0 1.156119e+01 11.080155 2.916589e-05
1.000000 190.0 1.156472e+01 10.986721 3.064832e-05
1.000000 200.0 1.156842e+01 10.891279 3.209327e-05
1.000000 210.0 1.157229e+01 10.793947 3.350153e-05
1.000000 220.0 1.157631e+01 10.694815 3.487983e-05
1.000000 230.0 1.158049e+01 10.593974 3.623261e-05
1.000000 240.0 1.158482e+01 10.491515 3.756004e-05
1.000000 250.0 1.158930e+01 10.387509 3.886773e-05
1.000000 260.0 1.159393e+01 10.282028 4.015720e-05
1.000000 270.0 1.159871e+01 10.175157 4.142442e-05
1.000000 280.0 1.160363e+01 10.066967 4.267899e-05
1.000000 290.0 1.160869e+01 9.957521 4.391406e-05
1.000000 300.0 1.161390e+01 9.846895 4.513649e-05
1.250000 0.0 1.147056e+01 12.656074 0.000000e+00
1.250000 10.0 1.147059e+01 12.653836 2.776799e-07
1.250000 20.0 1.147074e+01 12.645872 1.310938e-06
1.250000 30.0 1.147101e+01 12.631303 2.338644e-06
1.250000 40.0 1.147139e+01 12.609492 3.297200e-06
1.250000 50.0 1.147189e+01 12.579829 4.421158e-06
1.250000 60.0 1.147256e+01 12.542007 5.798637e-06
1.250000 70.0 1.147341e+01 12.496200 7.409506e-06
1.250000 80.0 1.147446e+01 12.442971 9.184717e-06
1.250000 90.0 1.147573e+01 12.383096 1.104609e-05
1.250000 100.0 1.147721e+01 12.317409 1.292757e-05
1.250000 110.0 1.147891e+01 12.246684 1.478189e-05
1.250000 120.0 1.148081e+01 12.171598 1.658047e-05
1.250000 130.0 1.148291e+01 12.092708 1.830956e-05
1.250000 140.0 1.148520e+01 12.010457 1.996539e-05
1.250000 150.0 1.148767e+01 11.925211 2.155075e-05
1.250000 160.0 1.149032e+01 11.837225 2.306996e-05
1.250000 170.0 1.149313e+01 11.746746 2.453190e-05
1.250000 180.0 1.149611e+01 11.653923 2.594268e-05
1.250000 190.0 1.149924e+01 11.558923 2.730892e-05
1.250000 200.0 1.150252e+01 11.461854 2.863739e-05
1.250000 210.0 1.150596e+01 11.362835 2.993187e-05
1.250000 220.0 1.150954e+01 11.261954 3.119654e-05
1.250000 230.0 1.151326e+01 11.159304 3.243573e-05
1.250000 240.0 1.151712e+01 11.054976 3.365100e-05
1.250000 250.0 1.152111e+01 10.949038 3.484492e-05
1.250000 260.0 1.152524e+01 10.841563 3.601953e-05
1.250000 270.0 1.152951e+01 10.732636 3.717414e-05
1.250000 280.0 1.153390e+01 10.622326 3.831397e-05
1.250000 290.0 1.153843e+01 10.510694 3.943455e-05
1.250000 300.0 1.154308e+01 10.397819 4.054215e-05
1.500000 0.0 1.141455e+01 13.213351 0.000000e+00
1.500000 10.0 1.141457e+01 13.211027 1.338305e-07
1.500000 20.0 1.141467e+01 13.202820 9.028049e-07
1.500000 30.0 1.141487e+01 13.187911 1.756808e-06
1.500000 40.0 1.141517e+01 13.165690 2.588115e-06
1.500000 50.0 1.141558e+01 13.135546 3.581735e-06
1.500000 60.0 1.141612e+01 13.097156 4.803399e-06
1.500000 70.0 1.141684e+01 13.050681 6.237010e-06
1.500000 80.0 1.141773e+01 12.996674 7.826083e-06
1.500000 90.0 1.141881e+01 12.935912 9.504003e-06
1.500000 100.0 1.142009e+01 12.869236 1.121271e-05
1.500000 110.0 1.142157e+01 12.797425 1.290712e-05
1.500000 120.0 1.142323e+01 12.721165 1.455998e-05
1.500000 130.0 1.142507e+01 12.641019 1.615560e-05
1.500000 140.0 1.142709e+01 12.557436 1.768826e-05
1.500000 150.0 1.142928e+01 12.470787 1.916011e-05
1.500000 160.0 1.143163e+01 12.381331 2.057031e-05
1.500000 170.0 1.143413e+01 12.289317 2.193091e-05
1.500000 180.0 1.143678e+01 12.194895 2.324113e-05
1.500000 190.0 1.143958e+01 12.098234 2.451189e-05
1.500000 200.0 1.144252e+01 11.999442 2.574475e-05
1.500000 210.0 1.144560e+01 11.898640 2.694655e-05
1.500000 220.0 1.144881e+01 11.795915 2.811874e-05
1.500000 230.0 1.145215e+01 11.691360 2.926590e-05
1.500000 240.0 1.145562e+01 11.585066 3.039085e-05
1.500000 250.0 1.145921e+01 11.477100 3.149315e-05
1.500000 260.0 1.146293e+01 11.367535 3.257544e-05
1.500000 270.0 1.146677e+01 11.256455 3.364035e-05
1.500000 280.0 1.147073e+01 11.143930 3.468873e-05
1.500000 290.0 1.147481e+01 11.030020 3.571851e-05
1.500000 300.0 1.147900e+01 10.914802 3.673527e-05
1.750000 0.0 1.136283e+01 13.743375 0.000000e+00
1.750000 10.0 1.136283e+01 13.740976 -3.267321e-09
1.750000 20.0 1.136289e+01 13.732551 5.207144e-07
1.750000 30.0 1.136303e+01 13.717320 1.225447e-06
1.750000 40.0 1.136325e+01 13.694694 1.957769e-06
1.750000 50.0 1.136357e+01 13.664056 2.852044e-06
1.750000 60.0 1.136402e+01 13.625071 3.950098e-06
1.750000 70.0 1.136462e+01 13.577887 5.238171e-06
1.750000 80.0 1.136538e+01 13.523056 6.670750e-06
1.750000 90.0 1.136631e+01 13.461357 8.192468e-06
1.750000 100.0 1.136741e+01 13.393637 9.752713e-06
1.750000 110.0 1.136870e+01 13.320685 1.130942e-05
1.750000 120.0 1.137016e+01 13.243195 1.283651e-05
1.750000 130.0 1.137178e+01 13.161736 1.431723e-05
1.750000 140.0 1.137357e+01 13.076765 1.574394e-05
1.750000 150.0 1.137552e+01 12.988657 1.711876e-05
1.750000 160.0 1.137761e+01 12.897673 1.843590e-05
1.750000 170.0 1.137985e+01 12.804067 1.971054e-05
1.750000 180.0 1.138223e+01 12.707990 2.093559e-05
1.750000 190.0 1.138475e+01 12.609612 2.212608e-05
1.750000 200.0 1.138739e+01 12.509042 2.327867e-05
1.750000 210.0 1.139016e+01 12.406400 2.440300e-05
1.750000 220.0 1.139306e+01 12.301777 2.549814e-05
1.750000 230.0 1.139608e+01 12.195262 2.656885e-05
1.750000 240.0 1.139922e+01 12.086948 2.761913e-05
1.750000 250.0 1.140247e+01 11.976901 2.864571e-05
1.750000 260.0 1.140584e+01 11.865194 2.965174e-05
1.750000 270.0 1.140933e+01 11.751912 3.064317e-05
1.750000 280.0 1.141292e+01 11.637122 3.161652e-05
1.750000 290.0 1.141662e+01 11.520886 3.257225e-05
1.750000 300.0 1.142043e+01 11.403280 3.351504e-05
2.000000 0.0 1.131474e+01 14.249694 0.000000e+00
2.000000 10.0 1.131473e+01 14.247228 -1.338728e-07
2.000000 20.0 1.131475e+01 14.238604 1.617734e-07
2.000000 30.0 1.131483e+01 14.223069 7.366174e-07
2.000000 40.0 1.131499e+01 14.200043 1.391310e-06
2.000000 50.0 1.131524e+01 14.168905 2.209618e-06
2.000000 60.0 1.131560e+01 14.129307 3.208607e-06
2.000000 70.0 1.131610e+01 14.081390 4.375467e-06
2.000000 80.0 1.131674e+01 14.025703 5.674625e-06
2.000000 90.0 1.131754e+01 13.963033 7.061220e-06
2.000000 100.0 1.131850e+01 13.894235 8.492319e-06
2.000000 110.0 1.131962e+01 13.820106 9.928473e-06
2.000000 120.0 1.132091e+01 13.741350 1.134556e-05
2.000000 130.0 1.132235e+01 13.658544 1.272580e-05
2.000000 140.0 1.132394e+01 13.572149 1.405996e-05
2.000000 150.0 1.132567e+01 13.482548 1.535043e-05
2.000000 160.0 1.132755e+01 13.390003 1.658680e-05
2.000000 170.0 1.132956e+01 13.294773 1.778735e-05
2.000000 180.0 1.133171e+01 13.197008 1.893898e-05
2.000000 190.0 1.133398e+01 13.096882 2.006076e-05
2.000000 200.0 1.133637e+01 12.994503 2.114454e-05
2.000000 210.0 1.133888e+01 12.889993 2.220298e-05
2.000000 220.0 1.134151e+01 12.783441 2.323266e-05
2.000000 230.0 1.134425e+01 12.674938 2.423849e-05
2.000000 240.0 1.134711e+01 12.564578 2.522576e-05
2.000000 250.0 1.135007e+01 12.452426 2.618842e-05
2.000000 260.0 1.135314e+01 12.338553 2.713013e-05
2.000000 270.0 1.135631e+01 12.223045 2.806007e-05
2.000000 280.0 1.135959e+01 12.105970 2.897042e-05
2.000000 290.0 1.136297e+01 11.987389 2.986441e-05
2.000000 300.0 1.136645e+01 11.867377 3.074552e-05
