1.844783600126029910e+01 0.000000000000000000e+00 2.715241700548122239e+01 1.712745476710311188e+00
1.844183890776730905e+01 0.000000000000000000e+00 2.714277284139402013e+01 1.710936145145738330e+00
1.843584360640650388e+01 0.000000000000000000e+00 2.713313188448577762e+01 1.709127245459883149e+00
1.842985009665939700e+01 0.000000000000000000e+00 2.712349413371481432e+01 1.707318777559632572e+00
1.842385837800743076e+01 0.000000000000000000e+00 2.711385958803978369e+01 1.705510741351905502e+00
1.841786844993243122e+01 0.000000000000000000e+00 2.710422824641969086e+01 1.703703136743624391e+00
1.841188031191614982e+01 0.000000000000000000e+00 2.709460010781385009e+01 1.701895963641741893e+00
1.840589396344068263e+01 0.000000000000000000e+00 2.708497517118194864e+01 1.700089221953222207e+00
1.839990940398816122e+01 0.000000000000000000e+00 2.707535343548402906e+01 1.698282911585064170e+00
1.839392663304089481e+01 0.000000000000000000e+00 2.706573489968030088e+01 1.696477032444239974e+00
1.838794565008138093e+01 0.000000000000000000e+00 2.705611956273162733e+01 1.694671584437811518e+00
1.838196645459211709e+01 0.000000000000000000e+00 2.704650742359884674e+01 1.692866567472782968e+00
1.837598904605597738e+01 0.000000000000000000e+00 2.703689848124348671e+01 1.691061981456248198e+00
1.837001342395581460e+01 0.000000000000000000e+00 2.702729273462707482e+01 1.689257826295255782e+00
1.836403958777469470e+01 0.000000000000000000e+00 2.701769018271182432e+01 1.687454101896936898e+00
1.835806753699577953e+01 0.000000000000000000e+00 2.700809082445990228e+01 1.685650808168368542e+00
1.835209727110252587e+01 0.000000000000000000e+00 2.699849465883420763e+01 1.683847945016724523e+00
1.834612878957833004e+01 0.000000000000000000e+00 2.698890168479764284e+01 1.682045512349128913e+00
1.834016209190686908e+01 0.000000000000000000e+00 2.697931190131362911e+01 1.680243510072766178e+00
1.833419717757194789e+01 0.000000000000000000e+00 2.696972530734587892e+01 1.678441938094821673e+00
1.832823404605748152e+01 0.000000000000000000e+00 2.696014190185844228e+01 1.676640796322509175e+00
1.832227269684765147e+01 0.000000000000000000e+00 2.695056168381570671e+01 1.674840084663054007e+00
1.831631312942657175e+01 0.000000000000000000e+00 2.694098465218239369e+01 1.673039803023705474e+00
1.831035534327876846e+01 0.000000000000000000e+00 2.693141080592355152e+01 1.671239951311719985e+00
1.830439933788864693e+01 0.000000000000000000e+00 2.692184014400462999e+01 1.669440529434399245e+00
1.829844511274098551e+01 0.000000000000000000e+00 2.691227266539122809e+01 1.667641537299015653e+00
1.829249266732062651e+01 0.000000000000000000e+00 2.690270836904956653e+01 1.665842974812922428e+00
1.828654200111246197e+01 0.000000000000000000e+00 2.689314725394589445e+01 1.664044841883426606e+00
1.828059311360174632e+01 0.000000000000000000e+00 2.688358931904711113e+01 1.662247138417922265e+00
1.827464600427362384e+01 0.000000000000000000e+00 2.687403456332010521e+01 1.660449864323745750e+00
1.826870067261362252e+01 0.000000000000000000e+00 2.686448298573247939e+01 1.658653019508334658e+00
1.826275711810729163e+01 0.000000000000000000e+00 2.685493458525178667e+01 1.656856603879060863e+00
1.825681534024034391e+01 0.000000000000000000e+00 2.684538936084626926e+01 1.655060617343394824e+00
1.825087533849866261e+01 0.000000000000000000e+00 2.683584731148421554e+01 1.653265059808755488e+00
1.824493711236825888e+01 0.000000000000000000e+00 2.682630843613442906e+01 1.651469931182632855e+00
1.823900066133533571e+01 0.000000000000000000e+00 2.681677273376595849e+01 1.649675231372498274e+00
1.823306598488610319e+01 0.000000000000000000e+00 2.680724020334825397e+01 1.647880960285872831e+00
1.822713308250713382e+01 0.000000000000000000e+00 2.679771084385103919e+01 1.646087117830274060e+00
1.822120195368499651e+01 0.000000000000000000e+00 2.678818465424440376e+01 1.644293703913244364e+00
1.821527259790645203e+01 0.000000000000000000e+00 2.677866163349877482e+01 1.642500718442350127e+00
1.820934501465837130e+01 0.000000000000000000e+00 2.676914178058493832e+01 1.640708161325179049e+00
1.820341920342790942e+01 0.000000000000000000e+00 2.675962509447385074e+01 1.638916032469299289e+00
1.819749516370212916e+01 0.000000000000000000e+00 2.675011157413711160e+01 1.637124331782372266e+00
1.819157289496851604e+01 0.000000000000000000e+00 2.674060121854629202e+01 1.635333059171991898e+00
1.818565239671446321e+01 0.000000000000000000e+00 2.673109402667365941e+01 1.633542214545849802e+00
1.817973366842761962e+01 0.000000000000000000e+00 2.672158999749145991e+01 1.631751797811584304e+00
1.817381670959585449e+01 0.000000000000000000e+00 2.671208912997261820e+01 1.629961808876923435e+00
1.816790151970700862e+01 0.000000000000000000e+00 2.670259142309008737e+01 1.628172247649545490e+00
1.816198809824926386e+01 0.000000000000000000e+00 2.669309687581733570e+01 1.626383114037197153e+00
1.815607644471074167e+01 0.000000000000000000e+00 2.668360548712812630e+01 1.624594407947618890e+00
1.815016655857990813e+01 0.000000000000000000e+00 2.667411725599653138e+01 1.622806129288577814e+00
1.814425843934529681e+01 0.000000000000000000e+00 2.666463218139697133e+01 1.621018277967857024e+00
1.813835208649548392e+01 0.000000000000000000e+00 2.665515026230421114e+01 1.619230853893262712e+00
1.813244749951940449e+01 0.000000000000000000e+00 2.664567149769331778e+01 1.617443856972609062e+00
1.812654467790592250e+01 0.000000000000000000e+00 2.663619588653972770e+01 1.615657287113745788e+00
1.812064362114422877e+01 0.000000000000000000e+00 2.662672342781917223e+01 1.613871144224521714e+00
1.811474432872355678e+01 0.000000000000000000e+00 2.661725412050779482e+01 1.612085428212829186e+00
1.810884680013332115e+01 0.000000000000000000e+00 2.660778796358186327e+01 1.610300138986532126e+00
1.810295103486303603e+01 0.000000000000000000e+00 2.659832495601829905e+01 1.608515276453580611e+00
1.809705703240250685e+01 0.000000000000000000e+00 2.658886509679402010e+01 1.606730840521872317e+00
1.809116479224147511e+01 0.000000000000000000e+00 2.657940838488660162e+01 1.604946831099392845e+00
1.808527431386998430e+01 0.000000000000000000e+00 2.656995481927361524e+01 1.603163248094074511e+00
1.807938559677816315e+01 0.000000000000000000e+00 2.656050439893329695e+01 1.601380091413941997e+00
1.807349864045627186e+01 0.000000000000000000e+00 2.655105712284393960e+01 1.599597360966972914e+00
1.806761344439483707e+01 0.000000000000000000e+00 2.654161298998430496e+01 1.597815056661201716e+00
1.806173000808433216e+01 0.000000000000000000e+00 2.653217199933347104e+01 1.596033178404669073e+00
1.805584833101558573e+01 0.000000000000000000e+00 2.652273414987084266e+01 1.594251726105440525e+00
1.804996841267935181e+01 0.000000000000000000e+00 2.651329944057613375e+01 1.592470699671587830e+00
1.804409025256679655e+01 0.000000000000000000e+00 2.650386787042942416e+01 1.590690099011219161e+00
1.803821385016897949e+01 0.000000000000000000e+00 2.649443943841109927e+01 1.588909924032445353e+00
1.803233920497720533e+01 0.000000000000000000e+00 2.648501414350190686e+01 1.587130174643408331e+00
1.802646631648304165e+01 0.000000000000000000e+00 2.647559198468280073e+01 1.585350850752240248e+00
1.802059518417796724e+01 0.000000000000000000e+00 2.646617296093532801e+01 1.583571952267146088e+00
1.801472580755385522e+01 0.000000000000000000e+00 2.645675707124101450e+01 1.581793479096275767e+00
1.800885818610248279e+01 0.000000000000000000e+00 2.644734431458210011e+01 1.580015431147883120e+00
1.800299231931597888e+01 0.000000000000000000e+00 2.643793468994077500e+01 1.578237808330150038e+00
1.799712820668651858e+01 0.000000000000000000e+00 2.642852819629991501e+01 1.576460610551364105e+00
1.799126584770642268e+01 0.000000000000000000e+00 2.641912483264243861e+01 1.574683837719762280e+00
1.798540524186821798e+01 0.000000000000000000e+00 2.640972459795175098e+01 1.572907489743632148e+00
1.797954638866443489e+01 0.000000000000000000e+00 2.640032749121152733e+01 1.571131566531273727e+00
1.797368928758793771e+01 0.000000000000000000e+00 2.639093351140581944e+01 1.569356067991011905e+00
1.796783393813161922e+01 0.000000000000000000e+00 2.638154265751897753e+01 1.567580994031179564e+00
1.796198033978855335e+01 0.000000000000000000e+00 2.637215492853566445e+01 1.565806344560132679e+00
1.795612849205189931e+01 0.000000000000000000e+00 2.636277032344091609e+01 1.564032119486247652e+00
1.795027839441512896e+01 0.000000000000000000e+00 2.635338884122006675e+01 1.562258318717918648e+00
1.794443004637164307e+01 0.000000000000000000e+00 2.634401048085877761e+01 1.560484942163548716e+00
1.793858344741512312e+01 0.000000000000000000e+00 2.633463524134311839e+01 1.558711989731586200e+00
1.793273859703936068e+01 0.000000000000000000e+00 2.632526312165930804e+01 1.556939461330455465e+00
1.792689549473827171e+01 0.000000000000000000e+00 2.631589412079406287e+01 1.555167356868630613e+00
1.792105414000603503e+01 0.000000000000000000e+00 2.630652823773436566e+01 1.553395676254601732e+00
1.791521453233675132e+01 0.000000000000000000e+00 2.629716547146753314e+01 1.551624419396865129e+00
1.790937667122492272e+01 0.000000000000000000e+00 2.628780582098120178e+01 1.549853586203946421e+00
1.790354055616494477e+01 0.000000000000000000e+00 2.627844928526335622e+01 1.548083176584381881e+00
1.789770618665158963e+01 0.000000000000000000e+00 2.626909586330229018e+01 1.546313190446734431e+00
1.789187356217965430e+01 0.000000000000000000e+00 2.625974555408663491e+01 1.544543627699574095e+00
1.788604268224401395e+01 0.000000000000000000e+00 2.625039835660535559e+01 1.542774488251501097e+00
1.788021354633989191e+01 0.000000000000000000e+00 2.624105426984772294e+01 1.541005772011126318e+00
1.787438615396241914e+01 0.000000000000000000e+00 2.623171329280340203e+01 1.539237478887089061e+00
1.786856050460709611e+01 0.000000000000000000e+00 2.622237542446220715e+01 1.537469608788013531e+00
1.786273659776935219e+01 0.000000000000000000e+00 2.621304066381457076e+01 1.535702161622602091e+00
1.785691443294496494e+01 0.000000000000000000e+00 2.620370900985092533e+01 1.533935137299505591e+00
1.785109400962971904e+01 0.000000000000000000e+00 2.619438046156236055e+01 1.532168535727468139e+00
1.784527532731960164e+01 0.000000000000000000e+00 2.618505501793999812e+01 1.530402356815177889e+00
1.783945838551074914e+01 0.000000000000000000e+00 2.617573267797546066e+01 1.528636600471394047e+00
1.783364318369935475e+01 0.000000000000000000e+00 2.616641344066066566e+01 1.526871266604870492e+00
