0.000000000000000 12.0727
10.000000000000000 12.0727
20.000000000000000 12.0724
30.000000000000000 12.0719
40.000000000000000 12.0712
50.000000000000000 12.0702
60.000000000000000 12.0693
70.000000000000000 12.0684
80.000000000000000 12.0677
90.000000000000000 12.0671
100.000000000000000 12.0668
110.000000000000000 12.0666
120.000000000000000 12.0666
130.000000000000000 12.0668
140.000000000000000 12.0671
150.000000000000000 12.0677
160.000000000000000 12.0683
170.000000000000000 12.0692
180.000000000000000 12.0702
190.000000000000000 12.0713
200.000000000000000 12.0725
210.000000000000000 12.0739
220.000000000000000 12.0755
230.000000000000000 12.0771
240.000000000000000 12.0789
250.000000000000000 12.0808
260.000000000000000 12.0828
270.000000000000000 12.0849
280.000000000000000 12.0872
290.000000000000000 12.0896
300.000000000000000 12.092
