6.387314613360228321e+00 0.000000000000000000e+00 4.189674833429393175e+00 -1.275886360142060028e-01 8.233660407407878523e+00 -5.239794074576487048e-02 5.602600827138014949e+01 3.717898338068851061e+00 9.365993758624099996e+00 4.391477037683593210e-01
6.375635455371738480e+00 0.000000000000000000e+00 4.183160099139823451e+00 -1.270241177405111443e-01 8.218668794943530642e+00 -5.401118977350272132e-02 5.586264718003092611e+01 3.706503827504256776e+00 9.346970190254895172e+00 4.364404562636412521e-01
6.363971693779848060e+00 0.000000000000000000e+00 4.176651401223978155e+00 -1.264604760099672376e-01 8.203696687020041622e+00 -5.562276199019144940e-02 5.569972795727724701e+01 3.695132793246077796e+00 9.327976955736060560e+00 4.337365798212680090e-01
6.352323309347680080e+00 0.000000000000000000e+00 4.170148734616899056e+00 -1.258977098177851417e-01 8.188744059902175465e+00 -5.723265892524054266e-02 5.553724939368446911e+01 3.683785187509519332e+00 9.309014008190425571e+00 4.310360705661402392e-01
6.340690282862672333e+00 0.000000000000000000e+00 4.163652094257828118e+00 -1.267406545177731658e-01 8.173810889883913688e+00 -5.884088210663840357e-02 5.537521028326688821e+01 3.672460962612182911e+00 9.290081300815277388e+00 4.283389246277931051e-01
6.329072595136700841e+00 0.000000000000000000e+00 4.157161475090238589e+00 -1.261781297957593750e-01 8.158897153288235060e+00 -6.044743306097011271e-02 5.521360942347747169e+01 3.661160070973833669e+00 9.271178786881636213e+00 4.256451381402932554e-01
6.317470227005935079e+00 0.000000000000000000e+00 4.150676872061790590e+00 -1.256164790039804302e-01 8.144002826467021450e+00 -6.205231331342808687e-02 5.505244561519774749e+01 3.649882465116183639e+00 9.252306419734724230e+00 4.229547072423383014e-01
6.305883159330758936e+00 0.000000000000000000e+00 4.144198280124453682e+00 -1.250557011406208119e-01 8.129127885801173292e+00 -6.365552438781030276e-02 5.489171766272760777e+01 3.638628097662662597e+00 9.233464152793356305e+00 4.202676280771626693e-01
6.294311372995913700e+00 0.000000000000000000e+00 4.137725694234304363e+00 -1.258961159707503441e-01 8.114272307700593601e+00 -6.525706780649187522e-02 5.473142437377440217e+01 3.627396921338139180e+00 9.214651939550387638e+00 4.175838967926228662e-01
6.282754848910288459e+00 0.000000000000000000e+00 4.131259109351699266e+00 -1.253355785618381901e-01 8.099436068603905525e+00 -6.685694509048012435e-02 5.457156455944378592e+01 3.616188888968766335e+00 9.195869733571900184e+00 4.149035095410926743e-01
